G/V degree,Dischargem,Generator power,Mechanical power,Overall Eff,Mech Eff
30.0,0.7632,62.065,68.96111111111111,0.39276563504963163,0.43640626116625736
35.0,0.8438,112.432,124.92444444444445,0.6517095494240578,0.7241217215822865
37.5,0.8733,115.084,127.8711111111111,0.6468041016002294,0.7186712240002547
40.0,0.8954,116.868,129.85333333333332,0.6402961437848844,0.7114401597609827
45.0,0.9486,119.661,132.95666666666668,0.6178432912013331,0.6864925457792591
50.0,1.004,121.143,134.60333333333332,0.5969419593447726,0.6632688437164139
55.0,1.0231,118.461,131.62333333333333,0.5686561946570374,0.6318402162855972
60.0,1.0531,115.59,128.43333333333334,0.5381598545581784,0.5979553939535315
65.0,1.0742,111.5,123.88888888888889,0.5073076340178109,0.5636751489086788
70.0,1.0973,108.206,120.22888888888889,0.4749905616740754,0.5277672907489727